Industry  Name,Number of firms,Average Company Age (years),Market Cap ($ millions),Book Equity ($ millions),Enteprise Value ($ millions),Invested Capital ($ millions),Total Debt (including leases) ($ millions),Revenues ($ millions),Gross Profit ($ millions),EBITDA ($ millions),EBIT (Operating Income) ($ millions),Net Income ( $ millions)
Recreation,49,43.65909090909091,69621.04600000002,20412.610000000004,107095.89613030346,42683.69536927546,43854.667130303475,55191.9,21962.71,10193.089000000007,4446.768573939304,-2604.885
Reinsurance,1,47.0,13370.1,11127.0,14556.711871569649,14254.61187156965,5811.611871569648,22304.0,2947.0,1678.8,1613.4776256860703,867.0
Restaurant/Dining,64,35.932203389830505,627015.8710000002,1604.2470000000003,781808.4426344959,134825.46879165483,170672.5616344956,187685.93,60511.12999999999,44490.837999999996,25885.944673100872,17583.246999999985
Retail (Automotive),34,33.53333333333333,252456.52200000003,27659.4,359336.46854364005,124179.94364417519,114502.65154364002,282815.745,62094.89,24178.722000000005,16512.469691272,9510.425999999998
Retail (Building Supply),14,46.84615384615385,524963.87,-5916.2,641996.2307853105,94389.68948689509,122259.98078531037,284195.80000000005,97248.70000000001,44394.57000000001,33589.97384293793,22293.120000000003
Retail (Distributors),62,45.39655172413793,356397.9489999998,77771.98700000001,446228.3794059735,139153.9280194727,100633.8314059736,235501.2999999999,71997.67999999998,30264.857000000004,24299.576918805276,14258.508000000005
Retail (General),23,42.95652173913044,3968753.6,425729.09,4169012.5858045816,686961.7916562672,315265.25180458155,1976571.1,655755.9999999999,239832.15899999999,128512.6606390837,110912.25499999999
Retail (Grocery and Food),15,57.266666666666666,94026.30099999998,28315.48,135528.79234964747,58592.28782111743,48846.82534964745,276535.763,72770.01099999998,15131.762999999999,5105.284930070512,3652.0099999999998
Retail (REITs),26,36.96,207644.53000000003,96009.49999999999,319996.9695509363,207262.53955093617,117152.65955093618,26569.799999999992,20886.699999999997,19130.724000000002,10267.742089812771,6110.404999999999
Retail (Special Lines),94,36.23809523809524,434128.32100000005,52180.83200000003,492363.35474219115,110054.32678258793,85788.00574219122,302790.87299999996,106897.05399999997,42533.04300000001,24453.898851561735,15714.29700000001
Rubber& Tires,3,63.0,2528.1200000000003,4774.5,10777.941423606835,11403.731423606836,9062.611423606837,18315.89,3295.04,1588.69,470.9261152786327,-1738.3
Semiconductor,66,29.206349206349206,7857941.525000001,493315.31999999995,7979087.459750574,487029.83718983794,203607.49475057123,508201.1109999999,299697.00299999997,227750.76000000004,179446.88104988585,154726.948
Semiconductor Equip,31,38.806451612903224,690400.6599999997,54922.91,701272.7284461142,60153.96007733508,33562.20844611425,92187.70800000003,42702.655000000006,28157.191999999995,24233.99831077715,19650.304
Shipbuilding & Marine,8,48.714285714285715,11113.87,7138.83,13274.729540190101,8818.451307555411,2506.1995401901,7645.616,2070.2419999999997,1659.5810000000001,1033.4830919619799,724.8499999999999
Shoe,11,64.77777777777777,118732.78099999999,19561.499999999996,124076.26930355397,23524.38830355394,14182.30830355394,60792.600000000006,26677.599999999995,7291.126,5555.8543392892125,3812.48
Software (Entertainment),77,14.559322033898304,5562520.755000002,505868.24,5632257.785135028,608937.8015229555,113731.84513503268,617054.8900000004,410004.5699999999,253633.066,207755.0529729935,184686.67999999996
Software (Internet),29,13.125,318435.506,23065.966999999997,347603.43756799516,39407.606267747346,39164.10056799501,36356.25,22751.273,6375.506,1359.3020864010011,-339.06100000000004
Software (System & Application),309,18.355805243445694,7001467.189999994,547362.1280000005,7256880.019684373,630758.0171728652,390481.0616843711,636079.4409999996,456200.6859999999,272938.23700000043,211226.05466312586,162155.45400000017
Steel,19,68.47368421052632,107159.194,56642.60000000001,126552.65533366191,66985.56133366194,25196.261333661925,108235.2,13254.499999999998,9250.754000000003,4445.202733267615,2083.979
Telecom (Wireless),12,28.77777777777778,237489.037,73001.56,356110.149241031,172952.29490909504,123367.71224103105,95804.77999999998,60339.58999999999,39633.372,18908.575751793782,11725.07
Telecom. Equipment,57,30.444444444444443,673903.4379999997,70876.78600000001,716344.8821813297,44863.88750699836,62152.41918132974,109934.705,63911.19799999999,29342.532,22997.829163734044,17688.408000000014
Telecom. Services,39,31.96875,402663.028,207174.83,756226.9676375323,510933.2765570822,386811.019637532,289210.19,170102.58400000003,112296.93599999997,60224.52407249358,41056.926
Tobacco,10,60.4,350172.37799999997,-11378.689999999999,422674.92936815054,39373.85191075723,80429.3523681505,66092.6,42504.729999999996,31336.588,28871.817126369893,17616.47
Transportation,19,41.5,384535.828,68353.464,497991.1359787027,164177.81461856756,140161.61497870274,303709.572,73203.802,39652.73499999999,23210.775004259453,25005.124
Transportation (Railroads),4,59.75,270029.2,43670.8,342201.8365062683,117973.23650626832,75045.33650626832,51338.8,26161.2,25370.5,19217.912698746335,12694.0
Trucking,26,44.76,119791.99000000003,42010.79999999999,146834.86079019893,59645.26179019889,30225.493790198892,84246.887,17853.104,14084.687,6161.783041960222,3193.9639999999995
Utility (General),14,108.0,350969.4,164557.40000000002,634828.3227725665,460586.9227725666,285984.9227725667,120882.70000000001,53400.2,46246.64,28051.415445486673,17139.5
Utility (Water),14,81.84615384615384,46224.37999999999,21486.58,74705.4308560632,47465.99085606317,28825.266856063165,10439.033999999998,6156.273999999999,5210.741000000001,3512.488628787365,2209.13
