Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Retail (General),23,0.8052405395912856,0.26052308288353043,0.07541372806577135,0.1851093548177591,425729.09,78806.4371770517,0.13590825384807578,0.07266070858883131,0.06324754525924448,854367.0061163937,54036.615887351814,0.9264089952191082,0.43342745933177196,0.050671999999999995,0.19099933477629175,0.038003999999999996,0.0735910047808918
Retail (Grocery and Food),15,1.1183037944931133,0.12897574047835317,0.08937634923439286,0.03959939124396031,28315.48,1121.275770780533,0.06763219560214334,0.07238731195941303,-0.00475511635726969,61392.96982111744,-291.93071501775995,0.658110474673126,0.4942294835852475,0.052913,0.12221523285745305,0.039684750000000005,0.341889525326874
Retail (REITs),26,0.620739021744814,0.06364375400351006,0.0671849603698187,-0.0035412063663086413,96009.49999999999,-339.9894526261094,0.051639531083079775,0.055748965465593825,-0.00410943438251405,195647.0755509362,-803.9988191073412,0.6393051931486502,0.18768911101931,0.047306,0.016032624227080367,0.0354795,0.36069480685134975
Retail (Special Lines),94,1.0893996802924664,0.30115075589442497,0.088087225741044,0.21306353015338098,52180.83200000003,11117.832272260513,0.21539093465658196,0.08010064856846762,0.13529028608811433,102088.82274961365,13811.626036194026,0.834996515151311,0.5324516747558207,0.052913,0.10067307943310284,0.039684750000000005,0.16500348484868904
Rubber& Tires,3,0.5294301574135339,-0.3640800083778406,0.06311258502064361,-0.4271925933984842,4774.5,-2039.6310371810628,0.03168147259457092,0.04479472762848332,-0.013113255033912398,14422.502423606837,-189.1259525079761,0.21811565703705116,0.5076716036736197,0.052913,0.0,0.039684750000000005,0.7818843429629488
Semiconductor,66,1.5181994029054893,0.31364715776513896,0.10721169336958483,0.20643546439555413,493315.31999999995,101837.77717764139,0.27226966835133587,0.10550619089928288,0.166763477452053,647009.4375554576,107897.54375104504,0.9747433781954636,0.5582720818010325,0.052913,0.05106370873021537,0.039684750000000005,0.025256621804536385
Semiconductor Equip,31,1.3972234247394333,0.3577797316274757,0.10181616474337873,0.25596356688409694,54922.91,14058.263947254238,0.28404463068412095,0.09893581330056925,0.1851088173835517,78687.03744611423,14565.664445065455,0.9536409808998203,0.5007740861926404,0.052913,0.099620953538418,0.039684750000000005,0.046359019100179664
Shipbuilding & Marine,8,0.7529325380371511,0.10153624613557122,0.07308079119645694,0.028455454939114277,7138.83,203.13865538299717,0.11992332943837858,0.06693565788096567,0.05298767155741291,8164.897540190099,432.6389091595215,0.8159921626835454,0.500867632683849,0.052913,0.052561473759605716,0.039684750000000005,0.18400783731645468
Shoe,11,1.0173183278612625,0.1948971193415638,0.08487239742261231,0.1100247219189515,19561.499999999996,2152.2485978175696,0.20929696659653424,0.0800507842361955,0.12924618236033875,23426.258303553943,3027.7544527215327,0.8932979816071588,0.500827620601969,0.052913,0.11861173771031724,0.039684750000000005,0.1067020183928412
Software (Entertainment),77,1.028311248084757,0.36508850605050824,0.08536268166458016,0.2797258243859281,505868.24,141504.41046465852,0.2701916640773067,0.08444745892589496,0.18574420515141177,781520.2835862611,145162.863884436,0.9799635687227297,0.5706184370658361,0.052913,0.05286401405640245,0.039684750000000005,0.020036431277270336
Software (Internet),29,1.6886761161660595,-0.01469962217495586,0.11481495478100626,-0.1295145769559621,23065.966999999997,-2987.378958085182,0.034347801967415575,0.10658673852546652,-0.07223893655805094,48591.38946774734,-3510.1903010281453,0.8904805826162221,0.526123151821511,0.052913,0.03054366211647507,0.039684750000000005,0.1095194173837779
Software (System & Application),309,1.276648178078175,0.2962489469128928,0.09643850874228661,0.19981043817060617,547362.1280000005,109368.66663367552,0.2931842949283384,0.09344048072400105,0.19974381420433737,707701.051164431,141358.90727600237,0.9471748112420303,0.5678932632947824,0.052913,0.05509792802786181,0.039684750000000005,0.05282518875796975
