Industry Name,Number of firms,Beta ,D/E Ratio,Effective Tax rate,Unlevered beta,Cash/Firm value,Unlevered beta corrected for cash,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),2022,2023,2024,2025,Average (2022-2026)
Retail (Automotive),34,0.9360151956832995,0.45355394519631387,0.10773098945749512,0.6984325625385885,0.020772624176115553,0.713248607812822,0.4825372615960231,0.44582095697030294,0.29759160491125186,1.1214912603915739,1.0827260845919955,1.06,0.99,0.9934931905592782
Retail (Building Supply),14,1.5353094340291733,0.2328921812948963,0.11839851054454309,1.3070143643127536,0.008076989118458873,1.3176570660974836,0.3865195809285255,0.45883505690255144,0.2848961536186289,1.4189632481805372,1.5670419621739333,1.7,1.57,1.514732455290391
Retail (Distributors),62,0.9484338145727029,0.2823636659199003,0.14586482228388625,0.7826829040437357,0.02363818330183412,0.8016320288830955,0.43297246786029253,0.3929235163979659,0.38702674062643194,1.064511615250408,1.00607436454125,0.91,0.93,0.9424436017349507
Retail (General),23,0.8052405395912856,0.07943684178442863,0.19099933477629175,0.7599637023048608,0.02684541547980239,0.7809280399984467,0.3806084813467897,0.43342745933177196,0.3761265127747763,1.0383563104796276,1.2201002971574864,1.17,1.03,1.0478769295271122
Retail (Grocery and Food),15,1.1183037944931133,0.5195017227110472,0.12221523285745305,0.804751465127235,0.051404586626224706,0.8483611176919518,0.4157715510638451,0.4942294835852475,0.333979659724327,0.21200696239163366,0.4731749077028324,0.36,0.47,0.47270859755728356
Retail (REITs),26,0.620739021744814,0.5641981493610073,0.016032624227080367,0.4361730155949174,0.014779130344806164,0.442715972660596,0.2004571607943027,0.18768911101931,0.16632632527871913,1.0650034437346438,1.355989844350516,0.79,0.69,0.8687418521491512
Retail (Special Lines),94,1.0893996802924664,0.19760978860946327,0.10067307943310284,0.9487830646597303,0.05299501204866487,1.0018775790318082,0.5308677688475226,0.5324516747558207,0.25765593153801364,1.2289647113509314,1.187876333197214,0.97,1.06,1.0897437247159907
Rubber& Tires,3,0.5294301574135339,3.5847235984078427,0.0,0.14353369356004206,0.07012413369742923,0.15435790814828812,0.36277061657452014,0.5076716036736197,0.6196360722085638,0.5892129358333806,0.267665547396446,0.26,0.18,0.2902472782756229
Semiconductor,66,1.5181994029054893,0.02591104732744511,0.05106370873021537,1.48925822268736,0.010228996908406993,1.5046492754744247,0.5440400597664541,0.5582720818010325,0.41935472146080105,1.135821074309048,1.534267220206094,1.46,1.46,1.4189475139979133
Semiconductor Equip,31,1.3972234247394333,0.04861265405817292,0.099620953538418,1.3480733569303134,0.03134157978115816,1.3916911563373942,0.47598492942989046,0.5007740861926404,0.49582416701865645,1.3414180698068143,1.6892473610771204,1.51,1.47,1.4804713174442656
Shipbuilding & Marine,8,0.7529325380371511,0.22550196647883228,0.052561473759605716,0.644012905556584,0.02535523030781677,0.6607667999490512,0.5290585304325847,0.500867632683849,0.7059846133135149,0.8023174759642652,0.7803339556376949,0.69,0.52,0.6906836463102023
Shoe,11,1.0173183278612625,0.11944728476926639,0.11861173771031724,0.9336746513867349,0.0664997484206909,1.0001868235248257,0.4536428192746412,0.500827620601969,0.2637399588380519,1.1884916532310223,1.2886673829152329,1.27,1.41,1.2314691719342161
Software (Entertainment),77,1.028311248084757,0.02044609811708157,0.05286401405640245,1.0127806880948524,0.007750679559072728,1.0206917427212765,0.6091442626711892,0.5706184370658361,0.5900855581478465,1.2075498828617475,1.3578802103729628,1.11,1.18,1.1752243671911973
